"x"
17.606
16.394
15.961
15.046
16.711
15.713
14.187
14.194
14.441
14.49
14.415
20.729
14.173
13.864
13.285
12.471
12.859
15.479
15.989
15.555
15.124
14.961
17.059
16.956
16.516
17.671
15.455
15.869
16.053
14.24
14.697
14.959
15.405
18.142
15.052
15.529
13.585
13.258
16.966
16.488
15.921
15.172
14.886
15.367
25.67
15.684
16.278
16.06
15.479
15.334
12.669
13.632
13.769
16.104
15.983
12.761
15.34
15.234
15.628
15.412
14.684
15.192
15.114
16.255
15.175
16.056
15.611
15.271
14.916
15.13
15.58
14.78
15.43
16.214
15.998
16.011
15.099
15.942
15.75
15.213
14.955
14.849
15.482
15.061
15.701
15.61
15.288
15.707
16.368
14.629
15.874
15.038
15.352
14.413
15.783
15.521
14.23
14.683
14.537
15.369
