cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
1e-6,L2_primal,0.01,0.7097740079365079,0.6351666666666667,0.6770595238095238,0.15138682508573423,0.27569915185559,0.22769023046156778,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.7097740079365079,0.6351666666666667,0.6770595238095238,0.15138682508573423,0.27569915185559,0.22769023046156778,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.7097740079365079,0.6351666666666667,0.6770595238095238,0.15138682508573423,0.27569915185559,0.22769023046156778,L2_Logistic_Regression
0.001,L2_primal,0.01,0.7097740079365079,0.6351666666666667,0.6770595238095238,0.15138682508573423,0.27569915185559,0.22769023046156778,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.7102779761904762,0.63725,0.6745119047619048,0.14992229239270252,0.27396308494965377,0.22545696577788213,L2_Logistic_Regression
0.005,L2_primal,0.01,0.7099168650793651,0.6423333333333333,0.6727261904761904,0.1487103464989766,0.27102201261757886,0.2235903369763193,L2_Logistic_Regression
0.01,L2_primal,0.01,0.7118121031746032,0.6505,0.6658928571428572,0.14811870515367367,0.2683776246517868,0.2203644389677105,L2_Logistic_Regression
0.05,L2_primal,0.01,0.7172936507936508,0.6885,0.6470714285714285,0.1430080312504983,0.2501054495642406,0.21871843795629306,L2_Logistic_Regression
0.1,L2_primal,0.01,0.7226125,0.7141666666666666,0.6249404761904762,0.13987612948270345,0.22995126082764925,0.2096943629056045,L2_Logistic_Regression
0.25,L2_primal,0.01,0.7276267857142857,0.7495,0.6008214285714286,0.13184892793852213,0.21468238391435165,0.19144161855716033,L2_Logistic_Regression
0.5,L2_primal,0.01,0.7325015873015873,0.7761666666666667,0.5903333333333334,0.12848878469580033,0.20674358270425566,0.1800244212895096,L2_Logistic_Regression
1,L2_primal,0.01,0.7334029761904762,0.7959166666666667,0.5764047619047619,0.1307227235191266,0.1914234309780672,0.1769320440464077,L2_Logistic_Regression
10,L2_primal,0.01,0.7419458333333333,0.822,0.5692738095238096,0.12581524271244,0.17704504217008524,0.16995065610239443,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.6721996031746031,0.5675833333333333,0.6445,0.17138814065100455,0.3419742558740721,0.26150651594414037,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.6721996031746031,0.5675833333333333,0.6445,0.17138814065100455,0.3419742558740721,0.26150651594414037,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.6721996031746031,0.5675833333333333,0.6445,0.17138814065100455,0.3419742558740721,0.26150651594414037,L2_Logistic_Regression
0.001,L2_primal,0.01,0.6721996031746031,0.5675833333333333,0.6445,0.17138814065100455,0.3419742558740721,0.26150651594414037,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.6723662698412699,0.5698333333333333,0.6429642857142858,0.17221586986208698,0.3416483428513706,0.2573994467399505,L2_Logistic_Regression
0.005,L2_primal,0.01,0.6721876984126984,0.5719166666666666,0.643797619047619,0.17256934573533037,0.3415714722147218,0.25586032307212475,L2_Logistic_Regression
0.01,L2_primal,0.01,0.6726753968253968,0.579,0.6418333333333334,0.17257475245155798,0.3367962501664567,0.2559636925217693,L2_Logistic_Regression
0.05,L2_primal,0.01,0.6763849206349206,0.60075,0.63575,0.17036239893922306,0.32871718882486567,0.24847905919699115,L2_Logistic_Regression
0.1,L2_primal,0.01,0.6765204365079365,0.6090833333333333,0.6274761904761905,0.17038355473154349,0.3143141812305214,0.23893556422963871,L2_Logistic_Regression
0.25,L2_primal,0.01,0.6709702380952381,0.636,0.6099404761904762,0.17176229631247578,0.29792901398784194,0.23292611342905298,L2_Logistic_Regression
0.5,L2_primal,0.01,0.6700551587301588,0.63125,0.5956071428571429,0.17069002565987115,0.2865247277251825,0.2236884575158511,L2_Logistic_Regression
1,L2_primal,0.01,0.6659452380952381,0.6409166666666667,0.5833214285714285,0.16571174717246978,0.276568656834155,0.2202163150597058,L2_Logistic_Regression
10,L2_primal,0.01,0.6550438492063492,0.6515,0.5598095238095238,0.16155309999911074,0.2578103800692836,0.21501160718894022,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.6592464285714286,0.7490833333333333,0.4888571428571429,0.12695101628663572,0.30213828270519927,0.2247021296563412,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.6592464285714286,0.7490833333333333,0.4888571428571429,0.12695101628663572,0.30213828270519927,0.2247021296563412,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.6592464285714286,0.7490833333333333,0.4888571428571429,0.12695101628663572,0.30213828270519927,0.2247021296563412,L2_Logistic_Regression
0.001,L2_primal,0.01,0.6592464285714286,0.7490833333333333,0.4888571428571429,0.12695101628663572,0.30213828270519927,0.2247021296563412,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.659425,0.7480833333333333,0.4888571428571429,0.1275140491718929,0.30296403560104573,0.2247021296563412,L2_Logistic_Regression
0.005,L2_primal,0.01,0.6599428571428572,0.7468333333333333,0.48957142857142855,0.127793266061798,0.3034714008309153,0.22336340604008967,L2_Logistic_Regression
0.01,L2_primal,0.01,0.6604428571428571,0.7500833333333333,0.49183333333333334,0.12738711675365816,0.30093144764365276,0.22176242884452776,L2_Logistic_Regression
0.05,L2_primal,0.01,0.6632928571428571,0.75425,0.49423809523809525,0.12371308492866327,0.29026642827894855,0.21377346446649034,L2_Logistic_Regression
0.1,L2_primal,0.01,0.663852380952381,0.7591666666666667,0.49533333333333335,0.12280894492710173,0.27660879094354057,0.20873304082558758,L2_Logistic_Regression
0.25,L2_primal,0.01,0.6697873015873016,0.76725,0.5029523809523809,0.11846112329686685,0.2620271524922867,0.20377107137379255,L2_Logistic_Regression
0.5,L2_primal,0.01,0.6729674603174604,0.7691666666666667,0.5022142857142857,0.11695307163663751,0.25064266920662975,0.20094220087418543,L2_Logistic_Regression
1,L2_primal,0.01,0.6755845238095238,0.7695833333333333,0.5096785714285714,0.11576014584069011,0.23697468278103812,0.20054962671706328,L2_Logistic_Regression
10,L2_primal,0.01,0.6752946428571429,0.75575,0.5218214285714285,0.12467702002533493,0.2298410436804837,0.2060793051059111,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.8121823412698412,0.7686666666666667,0.68375,0.12128681539111255,0.21450448007201608,0.2145509561928011,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.8121823412698412,0.7686666666666667,0.68375,0.12128681539111255,0.21450448007201608,0.2145509561928011,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.8121823412698412,0.7686666666666667,0.68375,0.12128681539111255,0.21450448007201608,0.2145509561928011,L2_Logistic_Regression
0.001,L2_primal,0.01,0.8121823412698412,0.7686666666666667,0.68375,0.12128681539111255,0.21450448007201608,0.2145509561928011,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.8124799603174603,0.7696666666666667,0.68475,0.12063800783859253,0.21323961509298126,0.21368612740290674,L2_Logistic_Regression
0.005,L2_primal,0.01,0.8129855158730159,0.77275,0.6818333333333333,0.12092101387823427,0.20980420467491626,0.2161051563449844,L2_Logistic_Regression
0.01,L2_primal,0.01,0.8133585317460318,0.7784166666666666,0.67775,0.12048447076529846,0.20514595245591669,0.21291063917505865,L2_Logistic_Regression
0.05,L2_primal,0.01,0.823018253968254,0.7931666666666667,0.6675,0.11501086846262826,0.2001338887411847,0.20865604172469956,L2_Logistic_Regression
0.1,L2_primal,0.01,0.8285579365079365,0.8085,0.6560952380952381,0.11137658099309551,0.18419539973073534,0.19744788569862995,L2_Logistic_Regression
0.25,L2_primal,0.01,0.8335837301587302,0.82425,0.6502738095238095,0.10863997993267861,0.17026925092710843,0.1924899794918897,L2_Logistic_Regression
0.5,L2_primal,0.01,0.8373188492063492,0.838,0.6537857142857143,0.10738995540354702,0.16201343424385695,0.18772877844949284,L2_Logistic_Regression
1,L2_primal,0.01,0.8400835317460318,0.8423333333333334,0.6565238095238095,0.1066953249558835,0.15925601734935024,0.18453096729434526,L2_Logistic_Regression
10,L2_primal,0.01,0.8432563492063492,0.8524166666666667,0.6560595238095238,0.10727084655818182,0.1492714252733146,0.17094561824530571,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.7773315476190477,0.826,0.48223809523809524,0.12056090251269681,0.20700760767922097,0.2802869338332334,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.7773315476190477,0.826,0.48223809523809524,0.12056090251269681,0.20700760767922097,0.2802869338332334,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.7773315476190477,0.826,0.48223809523809524,0.12056090251269681,0.20700760767922097,0.2802869338332334,L2_Logistic_Regression
0.001,L2_primal,0.01,0.7773315476190477,0.826,0.48223809523809524,0.12056090251269681,0.20700760767922097,0.2802869338332334,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.777817261904762,0.8288333333333333,0.4840714285714286,0.11982563816783996,0.20477077923082843,0.28086520745576515,L2_Logistic_Regression
0.005,L2_primal,0.01,0.7795569444444445,0.835,0.4840714285714286,0.11874990983427476,0.198992436915951,0.28086520745576515,L2_Logistic_Regression
0.01,L2_primal,0.01,0.781172619047619,0.8358333333333333,0.48396428571428574,0.11792565206876487,0.19722212392161814,0.27593915481405246,L2_Logistic_Regression
0.05,L2_primal,0.01,0.7928424603174603,0.8524166666666667,0.47978571428571426,0.11482206132158827,0.1711572387918288,0.2635830184002096,L2_Logistic_Regression
0.1,L2_primal,0.01,0.8022315476190476,0.8670833333333333,0.4865833333333333,0.10946218345939983,0.16056187547815667,0.25206179026256725,L2_Logistic_Regression
0.25,L2_primal,0.01,0.8175537698412698,0.8804166666666666,0.49216666666666664,0.10387690806699615,0.1428594235879198,0.23838670721464914,L2_Logistic_Regression
0.5,L2_primal,0.01,0.8240793650793651,0.89,0.5053928571428571,0.102567402072624,0.13033693398103108,0.2250638783335811,L2_Logistic_Regression
1,L2_primal,0.01,0.8316920634920635,0.8953333333333333,0.5114404761904762,0.10384382081597442,0.12562695923509212,0.21556578361591144,L2_Logistic_Regression
10,L2_primal,0.01,0.8406460317460318,0.9059166666666667,0.5236904761904762,0.10145209251059974,0.11288928552909563,0.2063862280494434,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.7496583333333333,0.6940833333333334,0.6792738095238096,0.1329676524948931,0.29709602068237856,0.23233984224360196,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.7496583333333333,0.6940833333333334,0.6792738095238096,0.1329676524948931,0.29709602068237856,0.23233984224360196,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.7496583333333333,0.6940833333333334,0.6792738095238096,0.1329676524948931,0.29709602068237856,0.23233984224360196,L2_Logistic_Regression
0.001,L2_primal,0.01,0.7496583333333333,0.6940833333333334,0.6792738095238096,0.1329676524948931,0.29709602068237856,0.23233984224360196,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.7517,0.6940833333333334,0.6780238095238095,0.13153553666461218,0.29709602068237856,0.23127571769230967,L2_Logistic_Regression
0.005,L2_primal,0.01,0.752685119047619,0.69575,0.6756547619047619,0.13228095355897546,0.2950503534234053,0.2306512120623175,L2_Logistic_Regression
0.01,L2_primal,0.01,0.7552640873015873,0.7039166666666666,0.6736547619047619,0.13334932364732177,0.2875315995063578,0.22955627016302982,L2_Logistic_Regression
0.05,L2_primal,0.01,0.7601632936507937,0.7396666666666667,0.6644523809523809,0.12928227593227007,0.2636849633761175,0.2240333672607501,L2_Logistic_Regression
0.1,L2_primal,0.01,0.769619246031746,0.7805833333333333,0.6611190476190476,0.1300163271450038,0.21983432102165215,0.2185502783849409,L2_Logistic_Regression
0.25,L2_primal,0.01,0.7816664682539682,0.8114166666666667,0.6572142857142858,0.12504368452974943,0.17939330646132465,0.20728781306611363,L2_Logistic_Regression
0.5,L2_primal,0.01,0.7845569444444445,0.8305833333333333,0.6566428571428572,0.12099943882999943,0.15239368244788865,0.19573044305904608,L2_Logistic_Regression
1,L2_primal,0.01,0.7923184523809524,0.8395833333333333,0.6561428571428571,0.11489920335910692,0.1462392651407277,0.19396267172047235,L2_Logistic_Regression
10,L2_primal,0.01,0.7957063492063492,0.8508333333333333,0.6444166666666666,0.10675904247619236,0.13421764952035706,0.1860797046573718,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.7483132936507937,0.6598333333333334,0.6699166666666667,0.14058352198880375,0.3111333993372263,0.2569533677293982,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.7483132936507937,0.6598333333333334,0.6699166666666667,0.14058352198880375,0.3111333993372263,0.2569533677293982,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.7483132936507937,0.6598333333333334,0.6699166666666667,0.14058352198880375,0.3111333993372263,0.2569533677293982,L2_Logistic_Regression
0.001,L2_primal,0.01,0.7483132936507937,0.6598333333333334,0.6699166666666667,0.14058352198880375,0.3111333993372263,0.2569533677293982,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.7483132936507937,0.6606666666666666,0.6699166666666667,0.14058352198880375,0.3095765375597477,0.2569533677293982,L2_Logistic_Regression
0.005,L2_primal,0.01,0.7485549603174603,0.6639166666666667,0.6689166666666667,0.14076904858983352,0.3066942376179431,0.2568337188739602,L2_Logistic_Regression
0.01,L2_primal,0.01,0.7475664682539682,0.6671666666666667,0.6686309523809524,0.1403100631790581,0.3050702658623821,0.2558385599216956,L2_Logistic_Regression
0.05,L2_primal,0.01,0.7478609126984127,0.681,0.6591785714285714,0.13712603868039777,0.2942546821696858,0.2567482101727001,L2_Logistic_Regression
0.1,L2_primal,0.01,0.7474015873015873,0.6901666666666667,0.6459285714285714,0.1349056055069483,0.2877218998974971,0.2444371452912876,L2_Logistic_Regression
0.25,L2_primal,0.01,0.7446176587301587,0.7073333333333334,0.6392738095238095,0.13183527637243458,0.2720388516280102,0.2297015311598932,L2_Logistic_Regression
0.5,L2_primal,0.01,0.7429496031746032,0.7288333333333333,0.6381071428571429,0.12609016884582805,0.26092922255817375,0.21725017308778827,L2_Logistic_Regression
1,L2_primal,0.01,0.7389982142857143,0.7395,0.6232738095238095,0.12271841779187634,0.24534931626256493,0.206996333704419,L2_Logistic_Regression
10,L2_primal,0.01,0.730075,0.7589166666666667,0.6112619047619048,0.12272148322975847,0.2355356553623188,0.1923122370344075,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.6989396825396825,0.6991666666666667,0.6580476190476191,0.13650405689907624,0.23715905322605724,0.18068338086632846,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.6989396825396825,0.6991666666666667,0.6580476190476191,0.13650405689907624,0.23715905322605724,0.18068338086632846,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.6989396825396825,0.6991666666666667,0.6580476190476191,0.13650405689907624,0.23715905322605724,0.18068338086632846,L2_Logistic_Regression
0.001,L2_primal,0.01,0.6989396825396825,0.6991666666666667,0.6580476190476191,0.13650405689907624,0.23715905322605724,0.18068338086632846,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.6994019841269842,0.6991666666666667,0.6556309523809524,0.13671836084455552,0.23715905322605724,0.17945393758780287,L2_Logistic_Regression
0.005,L2_primal,0.01,0.7003019841269841,0.6979166666666666,0.653547619047619,0.1362660933597199,0.23622246692580637,0.17843505840189514,L2_Logistic_Regression
0.01,L2_primal,0.01,0.7008634920634921,0.7038333333333333,0.6532619047619047,0.13611996637388835,0.2336663691733053,0.17755326069213972,L2_Logistic_Regression
0.05,L2_primal,0.01,0.7100321428571429,0.73425,0.6397619047619048,0.13506566184100482,0.21150729633807774,0.17034802097565416,L2_Logistic_Regression
0.1,L2_primal,0.01,0.7148388888888889,0.7570833333333333,0.6366428571428572,0.13370438994240283,0.1874960449983028,0.16835195356362928,L2_Logistic_Regression
0.25,L2_primal,0.01,0.7283660714285715,0.7820833333333334,0.6418452380952381,0.1332834792580629,0.17715678592893364,0.16432731412857707,L2_Logistic_Regression
0.5,L2_primal,0.01,0.7333000000000001,0.7971666666666667,0.6398333333333334,0.1341522091788329,0.16665083676918108,0.16016667492822384,L2_Logistic_Regression
1,L2_primal,0.01,0.7407986111111111,0.8035,0.6435119047619048,0.13470700986142242,0.16427590129908592,0.15804070649184798,L2_Logistic_Regression
10,L2_primal,0.01,0.7570561507936509,0.8031666666666667,0.6479761904761905,0.131407340708496,0.15979458827223894,0.15790795168281668,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.7715500000000001,0.73825,0.6803809523809524,0.1272218305326095,0.25154906733577564,0.23330552500441196,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.7715500000000001,0.73825,0.6803809523809524,0.1272218305326095,0.25154906733577564,0.23330552500441196,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.7715500000000001,0.73825,0.6803809523809524,0.1272218305326095,0.25154906733577564,0.23330552500441196,L2_Logistic_Regression
0.001,L2_primal,0.01,0.7715500000000001,0.73825,0.6803809523809524,0.1272218305326095,0.25154906733577564,0.23330552500441196,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.7718952380952381,0.7398333333333333,0.6810952380952381,0.12715013870365574,0.24912347737485754,0.2323076969805646,L2_Logistic_Regression
0.005,L2_primal,0.01,0.7722543650793651,0.7398333333333333,0.6798452380952381,0.12694527760480673,0.24912347737485754,0.23125331960951817,L2_Logistic_Regression
0.01,L2_primal,0.01,0.7730246031746032,0.7515000000000001,0.6783928571428571,0.1257920098458001,0.24488166446756784,0.22858999006103156,L2_Logistic_Regression
0.05,L2_primal,0.01,0.7819027777777778,0.7695833333333333,0.6831190476190476,0.12183463205334755,0.22319089372525047,0.2178915713351429,L2_Logistic_Regression
0.1,L2_primal,0.01,0.7873192460317461,0.78825,0.679,0.12160091338451788,0.20059791626269094,0.21591913676670405,L2_Logistic_Regression
0.25,L2_primal,0.01,0.7970420634920635,0.8033333333333333,0.67125,0.12034152380272238,0.1930246481571803,0.21007494264895085,L2_Logistic_Regression
0.5,L2_primal,0.01,0.8035755952380953,0.8188333333333333,0.6785119047619048,0.12081225463092353,0.1857373222470071,0.20321940213951342,L2_Logistic_Regression
1,L2_primal,0.01,0.8072730158730159,0.8230833333333334,0.6898928571428572,0.11885217632952676,0.18208174500723556,0.19276494883504883,L2_Logistic_Regression
10,L2_primal,0.01,0.8111920634920635,0.8378333333333333,0.7027023809523809,0.11622611922304701,0.16987457191779648,0.1804802150619457,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.7706067460317461,0.6261666666666666,0.6959166666666666,0.14076468560488634,0.33013757009320577,0.26880767798249333,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.7706067460317461,0.6261666666666666,0.6959166666666666,0.14076468560488634,0.33013757009320577,0.26880767798249333,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.7706067460317461,0.6261666666666666,0.6959166666666666,0.14076468560488634,0.33013757009320577,0.26880767798249333,L2_Logistic_Regression
0.001,L2_primal,0.01,0.7706067460317461,0.6261666666666666,0.6959166666666666,0.14076468560488634,0.33013757009320577,0.26880767798249333,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.771906746031746,0.6310833333333333,0.69425,0.13841376290391455,0.3282598719781155,0.2684652534493443,L2_Logistic_Regression
0.005,L2_primal,0.01,0.7733253968253968,0.6330833333333333,0.69425,0.13841221852499222,0.32622007169375616,0.2684652534493443,L2_Logistic_Regression
0.01,L2_primal,0.01,0.774918253968254,0.6425833333333333,0.6863690476190476,0.13759888584201774,0.32188765505850325,0.2662746385021012,L2_Logistic_Regression
0.05,L2_primal,0.01,0.7874035714285714,0.6860833333333334,0.6503333333333333,0.12966983459135253,0.29486948110608563,0.2546426268286902,L2_Logistic_Regression
0.1,L2_primal,0.01,0.7945265873015873,0.72875,0.6302023809523809,0.12251779216884445,0.2726349368038742,0.2501324957412937,L2_Logistic_Regression
0.25,L2_primal,0.01,0.8008309523809524,0.7865833333333333,0.6045952380952381,0.12079450304065184,0.2248437480902602,0.23169053988642027,L2_Logistic_Regression
0.5,L2_primal,0.01,0.8060293650793651,0.8160833333333334,0.5859285714285715,0.11970900897072022,0.19838387726384324,0.22287320626727627,L2_Logistic_Regression
1,L2_primal,0.01,0.8126900793650794,0.84325,0.5722261904761905,0.11688918582801187,0.16711077764305562,0.20828634516084987,L2_Logistic_Regression
10,L2_primal,0.01,0.817727380952381,0.8729166666666667,0.5628690476190477,0.11030552067337121,0.13933756395202576,0.20113726179464606,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.9085632936507937,0.9059166666666667,0.6174285714285714,0.07683127417171998,0.17554173547437563,0.23373816159357336,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.9085632936507937,0.9059166666666667,0.6174285714285714,0.07683127417171998,0.17554173547437563,0.23373816159357336,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.9085632936507937,0.9059166666666667,0.6174285714285714,0.07683127417171998,0.17554173547437563,0.23373816159357336,L2_Logistic_Regression
0.001,L2_primal,0.01,0.9085632936507937,0.9059166666666667,0.6174285714285714,0.07683127417171998,0.17554173547437563,0.23373816159357336,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.9084244047619048,0.9069166666666667,0.6161785714285715,0.07674067252996371,0.17550499443295084,0.2336941037842133,L2_Logistic_Regression
