cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
0.05,L2_primal,0.01,0.5072468253968254,0.759547619047619,0.3030833333333333,0.20664176872058604,0.21701513305743012,0.25110074534027393,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5137626984126984,0.7319761904761904,0.3375,0.2053255567470033,0.22275255474648903,0.2534284732748934,L2_Logistic_Regression
0.25,L2_primal,0.01,0.5242880952380953,0.6707380952380952,0.4105,0.20332966218542742,0.22992609133157726,0.26997171926252456,L2_Logistic_Regression
0.5,L2_primal,0.01,0.5299448412698413,0.623,0.4786666666666667,0.20183431426639606,0.2386474142715944,0.2717437538994434,L2_Logistic_Regression
1,L2_primal,0.01,0.5357837301587302,0.5869047619047619,0.52725,0.19595315330018478,0.2406793249308102,0.27775912695622057,L2_Logistic_Regression
10,L2_primal,0.01,0.5239853174603174,0.5130476190476191,0.5384166666666667,0.1879055845662895,0.24497932155744775,0.29552401433483577,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.5414781746031746,0.7030952380952381,0.3804166666666667,0.21084600188032432,0.2838227046215677,0.3398214359327184,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.5414781746031746,0.7030952380952381,0.3804166666666667,0.21084600188032432,0.2838227046215677,0.3398214359327184,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.5414781746031746,0.7030952380952381,0.3804166666666667,0.21084600188032432,0.2838227046215677,0.3398214359327184,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5414781746031746,0.7030952380952381,0.3804166666666667,0.21084600188032432,0.2838227046215677,0.3398214359327184,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.5414781746031746,0.7030952380952381,0.3804166666666667,0.21081289767615582,0.2838227046215677,0.3398214359327184,L2_Logistic_Regression
0.005,L2_primal,0.01,0.5427579365079365,0.7010952380952381,0.38166666666666665,0.2115490151543793,0.2831284879276015,0.3397990998404395,L2_Logistic_Regression
0.01,L2_primal,0.01,0.5444642857142857,0.6959285714285715,0.39075,0.21132698334951136,0.2806548923669198,0.33610529801951045,L2_Logistic_Regression
0.05,L2_primal,0.01,0.5588730158730159,0.6795476190476191,0.42741666666666667,0.21220252732132228,0.2774056317054044,0.3384238498122136,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5712896825396825,0.6572142857142858,0.45816666666666667,0.21542382318949715,0.2676031642677905,0.3382303190781669,L2_Logistic_Regression
