cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
1,L2_primal,0.01,0.7329079365079365,0.784547619047619,0.60275,0.17050742866761862,0.18149657938823532,0.2908178723818496,L2_Logistic_Regression
10,L2_primal,0.01,0.7330075396825396,0.7872380952380953,0.5996666666666667,0.17003866925080866,0.18207655736639133,0.2897367834519672,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.640181746031746,0.5907380952380953,0.6326666666666667,0.21057844007028215,0.25101677825429514,0.30518888714983433,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.640181746031746,0.5907380952380953,0.6326666666666667,0.21057844007028215,0.25101677825429514,0.30518888714983433,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.640181746031746,0.5907380952380953,0.6326666666666667,0.21057844007028215,0.25101677825429514,0.30518888714983433,L2_Logistic_Regression
0.001,L2_primal,0.01,0.639961507936508,0.5994761904761905,0.6289166666666667,0.20930852038775072,0.24760238407310425,0.30526040132753673,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.639775,0.6073333333333333,0.6264166666666666,0.20877756021401958,0.24655737207114037,0.30528234956128264,L2_Logistic_Regression
0.005,L2_primal,0.01,0.6390670634920635,0.6210714285714286,0.6191666666666666,0.20624758489748463,0.24123625085226919,0.3066668032189631,L2_Logistic_Regression
0.01,L2_primal,0.01,0.6377107142857142,0.6428095238095238,0.6096666666666667,0.20511885275716982,0.2411320995503551,0.30809549883801196,L2_Logistic_Regression
0.05,L2_primal,0.01,0.637827380952381,0.6877142857142857,0.5783333333333334,0.1962133746173999,0.22627130959507424,0.30103117030323845,L2_Logistic_Regression
0.1,L2_primal,0.01,0.6348769841269841,0.7119285714285715,0.55975,0.19323158577285257,0.21972387340579447,0.297473436262745,L2_Logistic_Regression
0.25,L2_primal,0.01,0.6361392857142857,0.7323571428571428,0.55225,0.18994471412483524,0.21371799912872477,0.2933312276268261,L2_Logistic_Regression
0.5,L2_primal,0.01,0.637884126984127,0.7453095238095239,0.556,0.18757544679763563,0.20309200566790417,0.29308539849266385,L2_Logistic_Regression
1,L2_primal,0.01,0.6383448412698413,0.7525238095238095,0.553,0.18875871818292672,0.19733690581515678,0.29501137965540664,L2_Logistic_Regression
10,L2_primal,0.01,0.6405488095238095,0.7517142857142857,0.5503333333333333,0.18648453685654895,0.19821215740801762,0.290357603118021,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.578565873015873,0.7180714285714286,0.4295833333333333,0.2209389271908532,0.24869366534185508,0.3356553857271113,L2_Logistic_Regression
