cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
10,L2_primal,0.01,0.4585887896825397,0.4240833333333333,0.5265952380952381,0.1337048627784182,0.22264147880587926,0.1652242664267308,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.4641454365079365,0.26208333333333333,0.7434642857142857,0.14470099954194116,0.22694003554241657,0.19786053387362174,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.4641454365079365,0.26208333333333333,0.7434642857142857,0.14470099954194116,0.22694003554241657,0.19786053387362174,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.4641454365079365,0.26208333333333333,0.7434642857142857,0.14470099954194116,0.22694003554241657,0.19786053387362174,L2_Logistic_Regression
0.001,L2_primal,0.01,0.4650626984126984,0.26083333333333336,0.74275,0.14480932226193244,0.2276941805712141,0.1982239259530654,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.4656420634920635,0.25983333333333336,0.7450416666666667,0.14510766060091207,0.228400783542763,0.19772251338161004,L2_Logistic_Regression
0.005,L2_primal,0.01,0.46543918650793653,0.25325,0.7428690476190476,0.14337855244531983,0.22630413354566645,0.1967406893986947,L2_Logistic_Regression
0.01,L2_primal,0.01,0.46563958333333333,0.2535833333333333,0.7463988095238095,0.1446406119601131,0.219663449368061,0.19959433947553795,L2_Logistic_Regression
0.05,L2_primal,0.01,0.4793001984126984,0.26366666666666666,0.7550654761904761,0.1431729557232325,0.20681952524983535,0.19703885043896963,L2_Logistic_Regression
0.1,L2_primal,0.01,0.49294751984126983,0.28775,0.7388571428571429,0.1436184787885248,0.20081129072721174,0.2044087855404045,L2_Logistic_Regression
0.25,L2_primal,0.01,0.5107258928571429,0.33366666666666667,0.7147440476190476,0.145840632975508,0.21265097110262104,0.2026173498464861,L2_Logistic_Regression
0.5,L2_primal,0.01,0.5250948412698413,0.38383333333333336,0.7035357142857143,0.14518292799960955,0.21790914205968542,0.20151207392319448,L2_Logistic_Regression
1,L2_primal,0.01,0.5372082341269842,0.41258333333333336,0.691029761904762,0.144920069012434,0.21193122719086602,0.20691884278851957,L2_Logistic_Regression
10,L2_primal,0.01,0.5671555555555555,0.46549999999999997,0.6694940476190476,0.14907201038323842,0.2148097856191999,0.20212261419028987,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.5669326388888889,0.4235833333333333,0.7114761904761905,0.17197614561356403,0.25520969088279416,0.1743586601046556,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.5669326388888889,0.4235833333333333,0.7114761904761905,0.17197614561356403,0.25520969088279416,0.1743586601046556,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.5669326388888889,0.4235833333333333,0.7114761904761905,0.17197614561356403,0.25520969088279416,0.1743586601046556,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5677977182539683,0.42275,0.7176666666666667,0.1709153298128348,0.25577734015876674,0.16945987095821896,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.5691419642857143,0.4176666666666667,0.7230357142857142,0.17142854338077462,0.2580671617360472,0.16438784752154517,L2_Logistic_Regression
0.005,L2_primal,0.01,0.5706618055555556,0.4096666666666667,0.7308511904761905,0.17127397724992993,0.2599733697653627,0.1624633089564679,L2_Logistic_Regression
0.01,L2_primal,0.01,0.5726760912698413,0.4025,0.7333809523809524,0.1697164640216658,0.26173064651141464,0.1607566586878465,L2_Logistic_Regression
