cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
1e-6,L2_primal,0.01,0.5719773809523809,0.7777857142857143,0.27216666666666667,0.16703973324197405,0.22281768435588553,0.27529543543755436,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.5719773809523809,0.7777857142857143,0.27216666666666667,0.16703973324197405,0.22281768435588553,0.27529543543755436,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.5719773809523809,0.7777857142857143,0.27216666666666667,0.16703973324197405,0.22281768435588553,0.27529543543755436,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5719773809523809,0.7777857142857143,0.27216666666666667,0.16703973324197405,0.22281768435588553,0.27529543543755436,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.5724734126984127,0.7777857142857143,0.273,0.16718725703670678,0.22281768435588553,0.27522672243755436,L2_Logistic_Regression
0.005,L2_primal,0.01,0.5723503968253968,0.7748095238095238,0.27525,0.16758868651560874,0.22127318443339497,0.2757810971909409,L2_Logistic_Regression
0.01,L2_primal,0.01,0.5733880952380952,0.7746011904761905,0.281,0.16748168037411762,0.2210401626007111,0.2789869605849667,L2_Logistic_Regression
0.05,L2_primal,0.01,0.580255753968254,0.7611488095238095,0.3090833333333333,0.16645901327788382,0.21647699683072566,0.2754712600820848,L2_Logistic_Regression
0.1,L2_primal,0.01,0.585469246031746,0.7473095238095238,0.343,0.1682275381991345,0.21389209148164184,0.27783541557239777,L2_Logistic_Regression
0.25,L2_primal,0.01,0.596500496031746,0.7150416666666667,0.40975,0.16792350426880262,0.21177335194974375,0.26467154354623973,L2_Logistic_Regression
0.5,L2_primal,0.01,0.6120064484126984,0.6854583333333333,0.4701666666666667,0.17109761192075632,0.19984860057891773,0.26219869842151455,L2_Logistic_Regression
1,L2_primal,0.01,0.6232319444444444,0.6605654761904762,0.5344166666666667,0.1730885325244859,0.19650746519446075,0.27711965448774273,L2_Logistic_Regression
10,L2_primal,0.01,0.665718253968254,0.6045654761904762,0.6688333333333333,0.1746012285231487,0.19500463813886282,0.2780059308703803,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.44582142857142854,0.7803214285714286,0.10175000000000001,0.1239735810909362,0.20642693922918828,0.1606831929544773,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.44582142857142854,0.7803214285714286,0.10175000000000001,0.1239735810909362,0.20642693922918828,0.1606831929544773,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.44582142857142854,0.7803214285714286,0.10175000000000001,0.1239735810909362,0.20642693922918828,0.1606831929544773,L2_Logistic_Regression
0.001,L2_primal,0.01,0.44582142857142854,0.7803214285714286,0.10175000000000001,0.1239735810909362,0.20642693922918828,0.1606831929544773,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.44561210317460315,0.7794880952380953,0.10175000000000001,0.12325354780990125,0.20587131738541642,0.1606831929544773,L2_Logistic_Regression
0.005,L2_primal,0.01,0.44555257936507936,0.7779404761904762,0.104,0.12346905154490252,0.20677812882711166,0.1620830346029034,L2_Logistic_Regression
0.01,L2_primal,0.01,0.4457291666666667,0.7753928571428571,0.105,0.1240135495060549,0.20607498525722193,0.16205512913806627,L2_Logistic_Regression
0.05,L2_primal,0.01,0.4451363095238095,0.7360476190476191,0.13308333333333333,0.1252003188532098,0.1942388356095346,0.1742614430401342,L2_Logistic_Regression
0.1,L2_primal,0.01,0.4446391865079365,0.7037023809523809,0.1715,0.12889170966602734,0.19941611597251535,0.18591970373454034,L2_Logistic_Regression
0.25,L2_primal,0.01,0.4453951388888889,0.639077380952381,0.24275,0.1298494713102879,0.1845318347875443,0.20048501700513954,L2_Logistic_Regression
0.5,L2_primal,0.01,0.4483652777777778,0.5890595238095238,0.2951666666666667,0.1312839780567393,0.17139264856861142,0.20386816280551298,L2_Logistic_Regression
1,L2_primal,0.01,0.4499332341269841,0.5499404761904761,0.35233333333333333,0.13203998780119153,0.17893270266525121,0.20354918932159496,L2_Logistic_Regression
10,L2_primal,0.01,0.4556858134920635,0.4925952380952381,0.4275833333333333,0.13977536553955072,0.17384488785241378,0.21960447097890604,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.6488110119047619,0.8394404761904762,0.354,0.17221295858553748,0.2186263828341408,0.2817412159875672,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.6488110119047619,0.8394404761904762,0.354,0.17221295858553748,0.2186263828341408,0.2817412159875672,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.6488110119047619,0.8394404761904762,0.354,0.17221295858553748,0.2186263828341408,0.2817412159875672,L2_Logistic_Regression
0.001,L2_primal,0.01,0.6488110119047619,0.8394404761904762,0.354,0.17221295858553748,0.2186263828341408,0.2817412159875672,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.648672123015873,0.8377738095238095,0.354,0.17234472792120728,0.2180274967262841,0.2817412159875672,L2_Logistic_Regression
0.005,L2_primal,0.01,0.6497272817460318,0.8338869047619047,0.3595,0.17283295414944452,0.21809850343261525,0.27945922693627656,L2_Logistic_Regression
0.01,L2_primal,0.01,0.6497868055555556,0.8315059523809524,0.36333333333333334,0.1731650466077186,0.2187175925795328,0.277013465517777,L2_Logistic_Regression
0.05,L2_primal,0.01,0.6572838293650793,0.8123809523809524,0.4005,0.1725539447048445,0.21365585024287906,0.278525620897559,L2_Logistic_Regression
0.1,L2_primal,0.01,0.6642243055555556,0.7950059523809524,0.42025,0.17110679547502958,0.20983111809158833,0.27691709065659126,L2_Logistic_Regression
