cv_aucs,test_aucs,model
0.665718253968254,0.6041666666666666,L2_Logistic_Regression
0.4556858134920635,0.8958333333333334,L2_Logistic_Regression
0.7526005952380952,0.6041666666666666,L2_Logistic_Regression
0.6801521825396826,0.625,L2_Logistic_Regression
0.42360843253968256,0.8125,L2_Logistic_Regression
0.714131746031746,0.5625,L2_Logistic_Regression
0.5686888888888889,0.7291666666666666,L2_Logistic_Regression
0.7116474206349206,0.4583333333333333,L2_Logistic_Regression
0.44403244047619045,0.7083333333333334,L2_Logistic_Regression
0.5197664682539682,0.7916666666666666,L2_Logistic_Regression
0.6301280753968254,0.5625,L2_Logistic_Regression
0.6469816468253968,0.5833333333333334,L2_Logistic_Regression
0.555162003968254,0.8333333333333334,L2_Logistic_Regression
0.7116915674603175,0.5625,L2_Logistic_Regression
0.6531513888888889,0.5625,L2_Logistic_Regression
0.5538473214285714,0.875,L2_Logistic_Regression
0.5781238095238095,0.7916666666666666,L2_Logistic_Regression
0.7020738095238095,0.625,L2_Logistic_Regression
0.6941376984126985,0.5625,L2_Logistic_Regression
0.775614880952381,0.5416666666666666,L2_Logistic_Regression
0.8106478174603174,0.5208333333333334,L2_Logistic_Regression
0.5861832341269841,0.7291666666666666,L2_Logistic_Regression
0.41270882936507935,0.7916666666666666,L2_Logistic_Regression
0.7541169642857143,0.5208333333333333,L2_Logistic_Regression
0.6514367063492064,0.7083333333333334,L2_Logistic_Regression
0.5507084325396825,0.6458333333333334,L2_Logistic_Regression
0.706897619047619,0.6041666666666666,L2_Logistic_Regression
0.6456073412698412,0.5416666666666666,L2_Logistic_Regression
0.5249760912698412,0.875,L2_Logistic_Regression
0.6497906746031746,0.6041666666666666,L2_Logistic_Regression
0.6735665674603175,0.6458333333333334,L2_Logistic_Regression
0.38411805555555556,0.9166666666666666,L2_Logistic_Regression
0.5770349206349207,0.7291666666666666,L2_Logistic_Regression
0.6392444444444444,0.6875,L2_Logistic_Regression
0.6171676587301588,0.7083333333333334,L2_Logistic_Regression
0.5539764880952381,0.7291666666666666,L2_Logistic_Regression
0.7837328373015873,0.6458333333333334,L2_Logistic_Regression
0.5955103174603175,0.5208333333333334,L2_Logistic_Regression
0.6198862103174603,0.5833333333333334,L2_Logistic_Regression
0.619865873015873,0.6666666666666666,L2_Logistic_Regression
0.7051169642857142,0.6875,L2_Logistic_Regression
0.7681469246031746,0.6041666666666666,L2_Logistic_Regression
0.5621253968253969,0.625,L2_Logistic_Regression
0.4899732142857143,0.8541666666666666,L2_Logistic_Regression
0.5543975198412698,0.7291666666666666,L2_Logistic_Regression
0.5834024801587302,0.625,L2_Logistic_Regression
0.5484155753968254,0.5625,L2_Logistic_Regression
0.6784925595238095,0.5416666666666666,L2_Logistic_Regression
0.6421706349206349,0.625,L2_Logistic_Regression
0.7524000992063492,0.47916666666666663,L2_Logistic_Regression
0.34192936507936506,0.8958333333333334,L2_Logistic_Regression
0.5706208333333334,0.625,L2_Logistic_Regression
0.6561856150793651,0.5833333333333334,L2_Logistic_Regression
0.534556746031746,0.625,L2_Logistic_Regression
0.7450907738095238,0.625,L2_Logistic_Regression
0.45763898809523806,0.7916666666666667,L2_Logistic_Regression
0.4829891865079365,0.8541666666666666,L2_Logistic_Regression
0.7056144841269841,0.5208333333333333,L2_Logistic_Regression
0.6878906746031745,0.6666666666666666,L2_Logistic_Regression
0.607547123015873,0.6666666666666666,L2_Logistic_Regression
0.6897113095238095,0.5833333333333334,L2_Logistic_Regression
0.6494901785714285,0.5833333333333334,L2_Logistic_Regression
0.6237025793650793,0.4375,L2_Logistic_Regression
0.5544280753968254,0.6666666666666666,L2_Logistic_Regression
0.5540768849206349,0.47916666666666663,L2_Logistic_Regression
0.5591270833333333,0.75,L2_Logistic_Regression
0.49769623015873016,0.8125,L2_Logistic_Regression
0.71860625,0.5833333333333334,L2_Logistic_Regression
0.535973511904762,0.75,L2_Logistic_Regression
0.7547094246031746,0.47916666666666663,L2_Logistic_Regression
0.6912228174603174,0.5,L2_Logistic_Regression
0.6491444444444444,0.6666666666666666,L2_Logistic_Regression
0.594447123015873,0.6458333333333334,L2_Logistic_Regression
0.5888386904761904,0.75,L2_Logistic_Regression
0.5425608134920635,0.4583333333333333,L2_Logistic_Regression
0.569350496031746,0.6666666666666666,L2_Logistic_Regression
0.6285491071428572,0.6666666666666666,L2_Logistic_Regression
0.6250781746031746,0.6666666666666666,L2_Logistic_Regression
0.6585386904761905,0.7083333333333334,L2_Logistic_Regression
0.5925665674603174,0.5208333333333334,L2_Logistic_Regression
0.725547619047619,0.5625,L2_Logistic_Regression
0.7218789682539682,0.5,L2_Logistic_Regression
0.48236954365079365,0.7708333333333334,L2_Logistic_Regression
0.6676018849206349,0.5208333333333334,L2_Logistic_Regression
0.6495740079365079,0.47916666666666663,L2_Logistic_Regression
0.45518125,0.7291666666666666,L2_Logistic_Regression
0.6020252976190477,0.6666666666666666,L2_Logistic_Regression
0.5349704365079365,0.7291666666666666,L2_Logistic_Regression
0.6256633928571429,0.5416666666666666,L2_Logistic_Regression
0.673350496031746,0.5833333333333334,L2_Logistic_Regression
0.6330865079365079,0.6458333333333334,L2_Logistic_Regression
0.6255655753968253,0.6041666666666666,L2_Logistic_Regression
0.818621626984127,0.5208333333333334,L2_Logistic_Regression
0.5412657738095238,0.625,L2_Logistic_Regression
0.5866948412698413,0.7083333333333334,L2_Logistic_Regression
0.6854246031746032,0.625,L2_Logistic_Regression
0.7067066468253969,0.6666666666666666,L2_Logistic_Regression
